 Code | Word | Frequency 
1:   34034
482: body 8
483: else 8
484: answer 8
485: stop 8
486: parts 8
487: SPOUTER 8
488: ashore 8
489: fear 8
490: Oh 8
491: Ishmael 8
492: money 8
493: seamen 8
494: especially 8
495: mere 8
496: want 8
497: Father 8
498: supper 8
499: You 8
500: straight 8
501: bench 8
502: rest 8
503: Yet 8
504: wall 8
505: o 8
506: run 7
507: cried 7
508: book 7
509: jaws 7
510: person 7
511: help 7
512: SERMON 7
513: bar 7
514: Landlord 7
515: feeling 7
516: altogether 7
517: comes 7
518: jaw 7
519: When 7
520: brown 7
521: IN 7
522: shore 7
523: vast 7
524: bows 7
525: present 7
526: Mapple 7
527: grand 7
528: pilot 7
529: D 7
530: ladder 7
531: art 7
532: Pacific 7
533: work 7
534: plainly 7
535: WHALE 7
536: eyeing 7
537: clothes 7
538: By 7
539: answered 7
540: top 7
541: Tarshish 7
542: idol 7
543: curious 7
544: arms 7
545: cabin 7
546: lie 7
547: thinking 7
548: hearts 7
549: mast 7
550: stove 7
551: turn 7
552: whalemen 7
553: nigh 7
554: Cape 7
555: quick 7
556: Such 7
557: idea 7
558: bound 7
559: chowder 7
560: drawn 7
561: bowl 7
562: form 7
563: ere 7
564: covered 7
565: anything 7
566: boats 7
567: thinks 7
568: smoke 7
569: death 7
570: somehow 7
571: view 7
572: taking 7
573: image 7
574: sign 7
575: point 7
576: caught 7
577: gale 7
578: devil 7
579: EXTRACTS 7
580: broken 7
581: joy 7
582: fact 7
583: Quaker 7
584: throwing 7
585: silent 7
586: killed 7
587: heaven 7
588: entry 7
589: bones 7
590: sitting 7
591: seated 7
592: broad 7
593: warm 7
594: If 7
595: stone 6
596: c 6
597: doubt 6
598: wood 6
599: Look 6
600: ^ 6
601: d 6
602: lost 6
603: Some 6
604: wind 6
605: taken 6
606: Voyage 6
607: Let 6
608: kind 6
609: pro 6
610: speak 6
611: cut 6
612: huge 6
613: whereas 6
614: behind 6
615: close 6
616: bold 6
617: Whales 6
618: whaleman 6
619: marvellous 6
620: passed 6
621: glass 6
622: yellow 6
623: squares 6
624: Well 6
625: ain 6
626: queer 6
627: truth 6
628: bear 6
629: howling 6
630: live 6
631: wharf 6
632: others 6
633: oceans 6
634: alone 6
635: hold 6
636: Quee 6
637: queg 6
638: smoking 6
639: picture 6
640: middle 6
641: However 6
642: hour 6
643: getting 6
644: saying 6
645: service 6
646: shavings 6
647: certainly 6
648: swinging 6
649: red 6
650: darkness 6
651: sin 6
652: Spouter 6
653: port 6
654: Peter 6
655: quiet 6
656: shirt 6
657: Then 6
658: ended 6
659: kept 6
660: father 6
661: stands 6
662: quietly 6
663: mate 6
664: street 6
665: used 6
666: bright 6
667: instant 6
668: case 6
669: mariners 6
670: carried 6
671: friends 6
672: forehead 6
673: nearly 6
674: interest 6
675: breakfast 6
676: fresh 6
677: Woe 6
678: entirely 6
679: com 6
680: Is 6
681: less 6
682: chief 6
683: legs 6
684: BY 6
685: ten 6
686: ago 6
687: hung 6
688: pretty 6
689: city 6
690: leaning 6
691: heavens 6
692: previous 6
693: hours 6
694: eh 6
695: clock 5
696: Like 5
697: none 5
698: masts 5
699: added 5
700: blanket 5
701: height 5
702: become 5
703: nature 5
704: held 5
705: har 5
706: weather 5
707: shoulders 5
708: bitter 5
709: speaking 5
710: standing 5
711: chap 5
712: landed 5
713: shaggy 5
714: evening 5
715: telling 5
716: deal 5
717: show 5
718: takes 5
719: ponderous 5
720: waking 5
721: keeping 5
722: sound 5
723: starboard 5
724: larboard 5
725: several 5
726: civilised 5
727: chapel 5
728: upward 5
729: mates 5
730: Sir 5
731: makes 5
732: lofty 5
733: Shipmates 5
734: overboard 5
735: Atlantic 5
736: concerning 5
737: flew 5
738: Still 5
739: ones 5
740: woe 5
741: sell 5
742: stern 5
743: Sunday 5
744: lighted 5
745: grinning 5
746: mat 5
747: glance 5
748: commenced 5
749: jacket 5
750: turns 5
751: heavy 5
752: save 5
753: concluded 5
754: simple 5
755: vain 5
756: unless 5
757: sand 5
758: passenger 5
759: ourselves 5
760: considerable 5
761: Christians 5
762: houses 5
763: ness 5
764: blue 5
765: hi 5
766: knowing 5
767: carry 5
768: afraid 5
769: served 5
770: pay 5
771: merchant 5
772: formed 5
773: Though 5
774: departed 5
775: pair 5
776: My 5
777: engaged 5
778: astonishment 5
779: Do 5
780: Ay 5
781: voyages 5
782: boom 5
783: Hosea 5
784: exactly 5
785: rare 5
786: purse 5
787: account 5
788: punch 5
789: bulwarks 5
790: Nothing 5
791: unite 5
792: leaves 5
793: distant 5
794: ivory 5
795: tossed 5
796: desire 5
797: keep 5
798: summer 5
799: Can 5
800: fashioned 5
801: con 5
802: cross 5
803: centre 5
804: Euroclydon 5
805: hair 5
806: Delight 5
807: delight 5
808: iron 5
809: entered 5
810: above 5
811: further 5
812: mark 5
813: Upon 5
814: Inn 5
815: social 5
816: snow 5
817: Horn 5
818: following 5
819: famous 5
820: became 5
821: compare 5
822: armed 5
823: South 5
824: sought 5
825: followed 5
826: Globe 5
827: candle 5
828: negro 5
829: dim 5
830: tall 5
831: suppose 5
832: voice 5
833: wooden 5
834: One 5
835: thee 5
836: horse 5
837: appeared 5
838: sleeps 5
839: waves 5
840: Sub 5
841: AND 5
842: king 5
843: monstrous 5
844: LOOMINGS 5
845: pains 5
846: S 5
847: fifty 5
848: swallow 5
849: animal 5
850: suit 4
851: thereby 4
852: neck 4
853: gave 4
854: dreadful 4
855: needs 4
856: She 4
857: occurred 4
858: enormous 4
859: tobacco 4
860: words 4
861: bone 4
862: Ahab 4
863: Moss 4
864: belly 4
865: Here 4
866: strike 4
867: outer 4
868: plank 4
869: waters 4
870: wicked 4
871: winds 4
872: Thou 4
873: healthy 4
874: passengers 4
875: Be 4
876: reaching 4
877: prophet 4
878: asked 4
879: sights 4
880: barrow 4
881: looks 4
882: slightly 4
883: berth 4
884: striking 4
885: watch 4
886: brawny 4
887: command 4
888: nose 4
889: Whether 4
890: pointing 4
891: BOSOM 4
892: Methinks 4
893: various 4
894: FRIEND 4
895: immediately 4
896: fare 4
897: painting 4
898: NUEE 4
